rc_seg_ids,mics_ids
4FC7AAA6-4353-86D3-A64D-4786BDC6293B-3,18955
16112683-6C0A-8E8C-5A3F-7BBA49BC315B-0,18956
1A508509-3679-7B67-3420-03EB9AD43D91-1,18957
49EDEB3A-207F-7E83-0528-487E5641362D-3,18958
7A0A693E-4FDF-61BB-8A12-300E346E2FBB-2,18959
6040A77D-8C2C-8CBE-9A3D-3F0A5F453D8D-0,18960
11E580B4-89DD-2035-9135-096392918537-3,18961
3E5D515A-2A3A-562F-82F1-17F702E6359B-1,18962
20BC6A43-29C1-7F37-594B-FD1436414A01-2,18963
3A307C3F-0311-043E-2FB9-6019E21C0B8E-1,18964
5A840E10-1163-1D4A-A57D-2B866E517C8B,18965
A7D9720E-7126-31E9-8345-9E7040749184,18966
7E4A8271-4550-9DAA-1929-17D73B9D8E37-3,18967
37267B04-0AAE-88AF-8305-0C95BD045B8E-2,18968
27EBCCE8-489F-5002-787E-17F0D1F85A22-0,18969
19C45409-0D7D-279F-66F0-45576E6F68D9-1,18970
7AF23298-53FC-49DD-9E18-E9880A537695-2,18971
46B475E5-85CA-341E-58FD-2CB03DEF5D05-2,18972
2C1CFC0A-65D9-31DA-5D9E-7FBFDAC6558A,18973
2601B48F-4689-0A2B-7F11-530479A93A46,18974
18C5D532-4D7D-87C9-8482-72A639BA5166-1,18975
095BB609-7266-A148-0230-16427DA14DB0-3,18976
782875DD-6A7D-04B7-81E0-2C21734E3B3A-1,18977
75A856AE-5139-2A9E-2C05-7E162AE14AF3-2,18978
62FBE908-3DAC-8B85-5CDF-3ABC382B008F-1,18979
481EB212-7FFE-335D-A774-28FAC0E499DA-0,18980
1A508509-3679-7B67-3420-03EB9AD43D91-2,18981
ZIP-66,18982
076F41E8-4734-79B4-04D9-430637978365-3,18983
DE42B48C-8B10-9297-5887-4F47686700C8,18984
0B5B1FF3-4ADE-097A-7B3F-B763113F639A,18985
2F378CAD-5C5B-A62F-24FB-33A529AE066A-3,18986
F923EAB0-400A-4936-8A6B-BA7032414B3E,18987
5EB8EFA0-755C-1DBE-141C-54718B015AD9-3,18988
09CF422F-1A32-A382-3AF7-2DF8F5DD99B5-1,18990
7752A24C-1AB4-43F2-885A-2EBCE0988C5D-1,18991
5DF94228-4EC5-8CF9-6089-242BE4D69770,18992
5430FE07-0F33-633A-22A2-58FECB867570-3,18993
33766B44-7E44-8D84-8313-1A7ED32E9919-0,18994
C2229BA3-701A-13A0-A357-1EF515C02799,18995
ZIP-08,18996
739A273D-870F-5727-3C61-455A1AD60A9C-2,18997
392602BA-1BED-16C0-00D0-7A5DB607389D-0,18998
3CCE5BFA-A085-933F-14DE-2B946D757856-0,18999
1D61C900-1E54-3348-660A-8D8D40BC166E,19000
7C8D3EB0-7081-6EE7-759A-59F513E7785A-1,19001
2F378CAD-5C5B-A62F-24FB-33A529AE066A-0,19002
2F5BFBD8-59DB-9482-9039-11DD3B061CEB-1,19003
2C0B8CCE-4D49-81AB-4318-404355FE1F49,19004
E875C508-2FB7-91C8-8ACD-1CCDD10851EB,19005
6E2FA54B-9420-6D9A-5E42-2C9900520496-3,19006
1082AED4-8B63-5CBE-537B-60143FDF0E2B-2,19007
E5E28BAD-5538-5FEF-1A9B-6BD698C08A1A,19008
67250B88-039F-2F84-198A-55188D7A0F6B,19009
DEDD9C68-3994-1400-999D-368DDCA948CE,19009
1CEB6B88-7B64-96AA-6503-31C669AE7986-0,19010
ZIP-40,19011
1F5CDAEA-7376-5F67-5AB6-53DB852C6A4B-0,19012
386879DD-67BB-9955-847D-7360A2719E8C-1,19013
6E954B21-55B5-0F1C-0C44-0B2C334B56A4-3,19014
2C54BEB0-2661-298A-3D60-5FC7043D70FE-3,19015
71DF83A7-500C-1D29-0495-0D393DD558A8,19016
DEB6EA35-28F8-429C-8D30-E1029C579CCB,19017
ZIP-61,19018
71DC5860-8FA0-5AF7-0EEF-7F3C1B655C98-2,19019
4C422665-6B64-7316-28B3-FD3E14D63B8A,19020
576D5B97-5750-60AE-9EF4-6635775F15A2-3,19021
34D90B9E-97C0-0DFD-4EB0-6F7BEB2015C2-2,19022
771945CB-6EC9-2D42-94E8-6D4CB3049029-1,19023
EBB6FFE2-2CAB-7C97-919D-D663F6980BBE,19024
A451ADD4-3531-4122-51B7-B0917A19258B,19025
66094E20-1348-4348-497F-B582BAC1539F-2,19026
15E6176B-7952-9437-9BE0-6BFBF8B06209-0,19027
5CA0B832-40BE-42BF-6CF6-04E162C50DAC-0,19028
231B6A24-7816-9A98-153C-332BCB6C89C8-3,19029
1F212488-984F-1704-7387-D8C301953CF7,19030
08E25496-2EA9-2682-2D83-0CD354763B31-0,19031
2830CADE-6560-495F-25F5-0CD7692B641C-3,19032
43C016D1-A696-3EBB-6D76-9222B6C66A8E,19033
F87241A0-0D1C-619D-8F09-60E8322D3062,19034
16370C17-85F3-0F56-8FB0-39A7AFFD06D7-2,19035
8791CAA8-695E-4E37-5289-8675D36D0C29,19036
4D1BA3D5-461A-218A-9CEB-582A17545F9A-1,19037
1A50354E-4380-9F8D-2C65-49F5D7870B5B-3,19038
ZIP-58,19039
D70CB774-78BA-A6CC-8399-A896C688655C,19040
26CE6939-54A6-1AFF-764A-32C58E545F3D-2,19041
347A2ED6-14B5-3657-3E2D-7707AAE26EB6-2,19042
49EDEB3A-207F-7E83-0528-487E5641362D-2,19043
20DA718A-333D-220E-83A0-F2FF78BF980A-3,19044
6C35B84B-170E-8507-06C8-30D2D46027A2-3,19045
1791D275-317E-5852-1949-2F5E6A6937D5-3,19046
26FA5102-46BC-6FBD-000F-2D09F1A64E08-2,19047
526510C7-9BD3-60A8-52CB-25D0D43B64B7-3,19048
ZIP-01,19049
3DEA7308-1463-8D0A-93E1-0160CE355151,19050
754F9AE1-21F7-4FDA-067C-1E85E49F5949-1,19051
308634A2-7F95-023D-702B-4773ED40781D-0,19052
56BA90D8-55D5-2252-9FDF-472F3A584B61-2,19053
447F2BFC-4BE1-6127-61F8-13F1BFE56641-1,19054
6AABFF3E-3D59-4586-4430-1DFD3B705E28-0,19055
0A8B9757-9405-1900-83FD-426566919CCE-1,19056
ZIP-16,19057
5FE97670-427F-67BD-5F67-349B08D82752-1,19058
561D968A-289D-674E-3D31-261078C08E6F-3,19059
77CD8F60-26F7-217A-1F74-0B12212203BF-1,19060
0B9DB7E9-9472-A098-1776-1130A0EF7F99,19061
347A2ED6-14B5-3657-3E2D-7707AAE26EB6-0,19062
48DBCE3C-6E42-2947-17C3-05E62BE375FB-1,19063
5F379C70-471F-9832-375A-0C4FDB180F12-2,19064
DB3500B9-99DF-29B7-5D48-2C7892C48F2B,19065
E80C88B2-2016-6C07-89A8-707B92674443,19066
35EE05CB-4F4B-9EA6-2051-7E493F183C90-0,19067
2ADEBA1D-0AE8-1C5F-1DE4-01F3B4C71A99-2,19068
65ED064A-7856-6669-07E1-0148BDE45A8C-0,19069
58F16160-10C6-965D-40E5-3F6DC55A44E1-3,19071
63B06775-9068-01B7-3D38-5572455C2AAB-2,19072
3E6F5BEA-76FD-10D1-3034-76B8F8AA7B2B-2,19073
18BC569A-8E54-0A78-6F75-06040DB5897F-2,19074
41EAE503-770F-0C30-0458-0F00CCD87B4C-3,19076
BC7857C3-89CC-7075-3C21-0422DF821D97-3,19077
67FB5BCC-61E8-7477-79FB-4628F46619C5-2,19078
576D5B97-5750-60AE-9EF4-6635775F15A2-1,19079
41463B29-9DBB-9108-89A3-1535DFABA30A,19080
E892066F-1A90-5C27-3AFD-02F08D18A787,19081
43C389A5-44CE-48F0-4A33-1AE2F77E54AC-1,19082
EE444C6F-4622-1FAE-49D2-2138CA8A53ED,19083
11E580B4-89DD-2035-9135-096392918537-0,19084
5A08EDE5-3706-2BBD-7B84-1CB315A13E13,19085
0EEC7F06-2285-581C-511F-0D5B632030FE-2,19086
2636B7A1-9BFA-323D-72B2-6E425D3D6270-3,19087
46336546-7147-0575-8FEE-02F5D19036BB-2,19088
78EEDEAF-3108-64F9-8644-5AAD828E7926-3,19089
1AA6B6E3-52EC-30DF-83D9-644AA1162415-2,19090
41853591-9E3F-5EA5-3DBA-73C925D85132-3,19091
16112683-6C0A-8E8C-5A3F-7BBA49BC315B-1,19092
A7091EF6-3C9D-6116-74D2-ECBF7CE6811B,19093
F55AB2DA-A6F7-9154-3161-19A68608031A,19094
CF36A3FE-1F73-7102-9877-F12561914920,19095
6AABFF3E-3D59-4586-4430-1DFD3B705E28-3,19096
C6196796-4BAA-A162-340D-B84A21DE8F9C,19097
07AEDA30-9326-3910-8A8A-1AC09EA12C2A-1,19098
6A4A265A-17F5-524D-50A8-1D8E20C19171-1,19099
C1D8A182-2DEF-410D-54AA-A28EA0D77E19,19100
219AFFF8-0F1D-82C4-2237-78D34C302237-1,19101
B0678722-676A-76EF-7FA1-43138ED5988E,19102
632D9D96-6650-7D39-3385-144CBD3F4279-1,19103
84B4905C-0C45-81E2-7B74-5CF6D7784126,19104
48212561-5DD2-1114-8B9F-1E4F5159A3FC-3,19105
370B9A05-278D-32DE-64F8-720F1E140A01-1,19106
7F30FDD1-2E73-19EA-874C-1D8C100A6CFB-3,19107
077C2647-8B21-6C5E-0326-9912EEF7074B,19108
972019DA-989C-62AB-3078-226A826671C2,19109
54F23250-45D8-34E5-1742-7939455C87E8-3,19110
4BF95B4A-47D4-A1AC-28AA-70F44D9E1C8E-1,19111
201AED52-49B0-8EE5-1B00-63DB5D6C96FA-2,19112
BC42352E-5C37-6280-347C-2C58356C7BC8-3,19113
0A3FEF2E-3F32-9C21-7E80-00D36D819F47-0,19114
0343B55D-A6F2-13AA-4ED9-9ABE43BE11C6,19115
2965932D-070D-9E0B-3444-448A9EEF01D3-3,19116
2280B220-7115-46D0-52C7-79396C1A88DE-1,19117
127ECEEE-4B4B-20CD-0BC7-0277AF4B8F68-2,19118
025A4FF4-0265-18D2-0DD4-2FA81E7A0DC6-3,19119
127ECEEE-4B4B-20CD-0BC7-0277AF4B8F68-0,19120
B4817F1C-9931-9083-62C2-3BC51DAF18F0,19121
B05AB17E-8B1F-4EE0-9CAB-FB2957409696,19122
479CB805-1DBF-0B13-9673-EEB1F5AE7017,19123
0B559289-54FE-6696-2D31-3F4727D51BD6-2,19124
226D6675-0E42-79EA-7CDC-638D56525A72-3,19125
4F8C5944-17FB-052A-3FB1-328E638B589C-1,19126
64D30BDB-7787-18EB-2E44-19048E143718-2,19127
07B7FF9C-75F8-2407-A31F-52426CC185CF,19128
59085D30-836D-3803-720D-14E82AFF5383-2,19129
D54E54EB-4527-4555-A497-4A6810034B42,19130
53395183-8363-5550-2500-03F43A983450-1,19131
02B9C301-88AF-A172-7F11-873F921B8BB6,19132
274910FA-4AE7-9E42-14B4-32A0F24B1802-2,19133
A21D62EB-2AF8-0D44-95DB-CF3653BD9EA2,19134
1BF18703-7C05-5683-0666-171BD17A8D5B-0,19135
43339D35-862E-07D8-5F8B-C15905CF52CE,19136
523EFDC0-67A3-3438-A44E-73D09E23350B-2,19137
1214CD07-62E8-4A6A-9B2C-766196235BE3-3,19138
C3AA33DF-9EBC-2F55-82F6-D2A5D1622FBD,19139
D78C62A8-2963-3799-7644-5C4E06FD9F86,19140
9E80FB9C-1469-2D16-44A3-CD6E42C863E3,19141
4D4C445A-87E7-6AE6-8AF5-7D998C630BF9-1,19142
DBEB59D1-283B-2816-4782-AD2591F55D09-2,19143
0F223988-498E-75BB-9B8B-5EBD4D207672-3,19144
6040A77D-8C2C-8CBE-9A3D-3F0A5F453D8D-1,19145
ZIP-95,19146
660BE764-002F-25BB-73FB-6B87BA1C5A6F-2,19147
BB57D593-8A6C-0B9A-6C1F-61D9ED231807,19148
D8D30A3C-76D8-5E96-03C1-8E927E80163F,19148
95A1DF2E-2995-261E-195F-543729D8564A,19149
CC7D1677-8CA1-4670-0431-4A55E1E054D9,19150
15A4795B-4953-4CD0-3FF3-0DA13059755D-1,19151
63E0EFBF-0A24-8C56-39AC-029A0C80070F-1,19152
E61EB6E2-53E0-2BA6-9E02-162E3803065A,19153
24F84D69-9F90-686E-4EEB-10094F8D3D76-3,19154
F1895294-38D7-71F3-A0E0-91F8962605E3,19155
2EF5FEF3-1536-39CA-6ACE-73C5956D09C2,19156
02BA185B-0D82-7C86-60D3-74E8C65684D2-1,19157
08C07D1B-7F71-827C-44CA-B8867A272939,19158
0BB221AF-3286-2375-98AC-307B77531E56-3,19159
5A622E57-3DEC-0109-87C8-733C251C0A82-1,19160
20701BB6-769B-2BE3-1E5F-70DA88208F78-3,19161
4ACAC89C-8BD8-08DD-8A72-3E180C1C7E24,19162
68843C6A-8982-6E34-752D-6E1B87BA41CA-1,19163
014DE847-3B3B-4CFA-6569-751575DF930F-1,19164
100AF8AD-56C1-A4A0-7E1A-6D85011F823A-1,19165
ZIP-11,19166
32F55DDE-95D6-0D4B-68BB-00D7A1707320-2,19167
605D70AF-7191-17B0-0F05-022B05171021-1,19168
138750E3-9C10-49E0-8325-023DAB47A14B-2,19169
04633D6E-6FB4-47A9-A112-5017C0BD8EE9-3,19170
D224F37A-823D-6C50-6E98-59CEF58C2A2F,19172
71AAC2CB-8888-A4DF-7339-61E16A7C36C1-2,19173
55B74AD8-0BAA-9FBF-434E-6C9B28081118-1,19174
2648C2BD-3495-2A53-6411-451ECD9E6D34,19175
4B5A7801-34B3-2719-2ED1-715600D855A4-0,19176
58ADB93D-8F51-91F6-7B37-6FA080B4A0F7-1,19177
11D9DE99-4C9D-4880-9042-0ECE270E37B9-2,19178
32F55DDE-95D6-0D4B-68BB-00D7A1707320-1,19179
06DEDC69-66EC-7FBC-753F-7FA598B2465D-0,19180
B56F9525-73DD-5CA4-2D74-D1A591811A32,19181
7A981442-7348-639D-7056-2F6735CF798F-3,19182
54F23250-45D8-34E5-1742-7939455C87E8-1,19183
508E287F-0824-8983-65CB-0979285E47CD-3,19184
15E6176B-7952-9437-9BE0-6BFBF8B06209-3,19185
3638D3ED-7066-495B-06A7-E1B532F9A715,19186
6295041E-A639-0443-6C59-137DD1977F61-2,19187
225A01EA-0A9E-A79C-7E11-603AC2183AE5-2,19188
599B2186-9450-66DE-1FDC-1F506483117E-0,19190
48212561-5DD2-1114-8B9F-1E4F5159A3FC-1,19191
6C3A218A-2DC4-9451-1C27-79C783751200,19192
1D712C0B-7000-979B-0A0F-547E4A5FA3C8-3,19193
638F5AC7-62C1-7DDF-62A2-05006B411ABF-1,19194
ACF61288-95C5-5A14-4AB2-DD8449E74950-2,19195
70D097E9-1F16-0DFB-1C13-0233A5BD1829-1,19196
2830CADE-6560-495F-25F5-0CD7692B641C-0,19197
316C5482-8BA5-1D15-A205-3B60F3906CBE,19198
387740C4-454B-5DA3-01F7-6660C0DD1345-1,19199
19C2F435-65CD-25D3-99D5-523D04869A12-2,19200
225A01EA-0A9E-A79C-7E11-603AC2183AE5-0,19201
9231F339-396B-708B-2892-8DF56A637088-2,19202
6A30B867-114A-5968-28E4-01200F9209AB-0,19203
596EEC57-98A2-6453-0F3D-4C9014613EC3-3,19204
7F8674FE-6BDB-4A9F-5B9C-40C668C43C9A-1,19205
3A307C3F-0311-043E-2FB9-6019E21C0B8E-0,19206
11DF2422-5A70-6D6C-55D4-CFA93FBD4166,19207
3BDF3893-6456-69EE-7678-2656C9FF7F1C-3,19208
AC6E4BF0-6FA6-2758-1161-160373FF028D,19209
79B2BA3A-8542-0A55-8758-111E5B8251AA-1,19210
3D354FE6-81DF-0029-5CBF-F42C42683596,19211
2460B6DC-5030-90B9-2DF9-30ACDEC262D4-3,19212
2BD7EE8A-4B19-91A9-4CBA-23235B3674CB,19213
E3258F7A-6E84-A743-56E3-445C77368706,19214
66C6094E-2D32-5682-4F61-53F4AB2D2C87-2,19215
452BB966-5662-3190-509A-70857DC1001E-3,19216
43C389A5-44CE-48F0-4A33-1AE2F77E54AC-2,19217
